id,Summary,Sponsor,Component,Status,Owner,Type,Priority,Milestone,Severity,Keywords
27146,Mismatched digest in 0.3.3.9 and master mixed chutney network,Sponsor8-can,Core Tor/Tor,assigned,teor,defect,Very High,Tor: 0.3.5.x-final,Normal,"regression, tor-dirauth, macOS, 035-roadmap-proposed, 035-can"
28558,Crash in memoize_protover_summary() when cache is full,Sponsor8,Core Tor/Tor,assigned,nickm,defect,Very High,Tor: 0.4.0.x-final,Normal,
10059,capture tor log messages before control connection is opened,Sponsor8,Core Tor/Tor,new,nickm,enhancement,High,Tor: unspecified,Normal,"tbb-usability, extdev-interview, tbb-needs, 034-triage-20180328, 035-removed-20180711"
23289,Improving HS reachability for Orbot/Android users,Sponsor8-can,Core Tor/Tor,new,n8fr8,enhancement,High,Tor: unspecified,Normal,"orbot, mobile, android, 034-triage-20180328, 034-removed-20180328"
23508,large clock skews cause numerous bootstrap UX issues,Sponsor8-can,Core Tor/Tor,new,,defect,High,Tor: unspecified,Major,"bootstrap, clock-skew, usability, ux, 032-unreached, s8-errors"
23573,Do we want to close all connections when tor closes?,Sponsor8,Core Tor/Tor,needs_revision,,enhancement,High,Tor: 0.3.5.x-final,Normal,"shutdown, privcount, correctness, chutney-wants, review-group-24, 034-triage-20180328, 034-included20180401, 035-roadmap-subtask, 035-triaged-in-20180711"
23882,Investigate implementing a Rust allocator wrapping tor_malloc,Sponsor8-can,Core Tor/Tor,new,,enhancement,High,Tor: 0.4.0.x-final,Normal,"rust, rust-pilot, 034-triage-20180328, 034-removed-20180328"
24061,Collect Baseline Measurements for Different Android Performance Metrics,Sponsor8,Core Tor/Tor,assigned,ahf,project,High,Tor: unspecified,Normal,"s8-perf, s8-201710, 034-triage-20180328, 034-removed-20180328"
28849,Handle dormant mode in process library and for PT's,Sponsor8,Core Tor/Tor,new,,enhancement,High,Tor: 0.4.0.x-final,Normal,
2681,brainstorm ways to let Tor clients use yesterday's consensus more safely,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"prop212, tor-client, small-feature, tor-dos-dirauth, low-bandwidth, sponsor4, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328 035-removed"
7707,Impose a minimum write size for TLS writes,Sponsor8-can,Core Tor/Tor,needs_information,,defect,Medium,Tor: unspecified,Normal,"tor-relay, performance, bwbug, bandwidth sponsor8-maybe tls nagle, 032-unreached"
7743,Avoid needless wasted space in cells,Sponsor8-can,Core Tor/Tor,needs_revision,nickm,defect,Medium,Tor: unspecified,Normal,"tor-relay, bwbug, nagle, sponsor8-maybe"
7747,SENDME doesn't need to trigger packaging so aggressively,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"tor-relay, sendme, nagle, bandwidth, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
10510,Getting a lot of system clock jumped messages,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"tor-relay, tor-client, sponsor8-maybe, timekeeping, wakeup, 032-unreached"
11966,"""Bootstrapped 20%: Asking for networkstatus consensus"" is a lie for bridge users",Sponsor8-can,Core Tor/Tor,needs_revision,,defect,Medium,Tor: 0.4.0.x-final,Normal,"tor-bridge, sponsor8-maybe, bootstrap, 033-triage-20180320, 033-removed-20180320"
16387,Improve reachability of hidden services on mobile phones,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"tor-hs, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
17520,Relax the rend cache failure cleanup timer,Sponsor8-can,Core Tor/Tor,needs_information,neel,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"tor-hs, tor-client, prop224"
19522,HS intro circuit retry logic fails when network interface is down,Sponsor8-can,Core Tor/Tor,needs_revision,,defect,Medium,Tor: unspecified,Normal,tor-hs tor-retry bootstrap network-down
19665,Should *Port_set count sockets?,Sponsor8,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,tor-control technical-debt config torrc startup
21358,Tor fails to reconnect after computer resumes from sleep,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"sleep, wakeup, power-management, online-detection, tor-client, sponsor8-maybe, 033-triage-20180320, 033-removed-20180320"
21814,Reduce binary size for client-only tor,Sponsor8,Core Tor/Tor,new,,task,Medium,Tor: 0.4.0.x-final,Normal,"034-triage-20180328, 034-removed-20180328, 035-roadmap-subticket, 035-triaged-in-20180711"
22704,Use mmaps to handle journalled microdesc/routerdesc files.,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"sponsor8-maybe, mmap, 034-triage-20180328, 034-removed-20180328, 035-removed-20180711"
22705,"When disk space is low, rebuild main cached-* files more aggressively",Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"sponsor8-maybe, disk-usage, 034-triage-20180328, 034-removed-20180328, 035-removed-20180711"
22707,Lower descriptor lifetime when disk space is low,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"sponsor8-maybe, diskspace, 034-triage-20180328, 034-removed-20180328, 035-removed-20180711"
22758,"When starting with no authority certificates, launch certificate downloads in parallel with consensus download",Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"sponsor8-maybe, startup, bootstrap, time-to-first-byte, directory, tor-client, 032-unreached"
23221,Implement download resumption if needed.,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"034-triage-20180328, 034-removed-20180328"
23521,detect if clock skew is probably really time zone misconfiguration,Sponsor8,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"bootstrap, clock-skew, ux, s8-errors, 034-triage-20180328, 034-removed-20180328"
23677,Tor should log what it thinks the time is sometime(s),Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"bootstrap, clock-skew, ux, s8-errors, 034-triage-20180328, 034-removed-20180328"
23878,Attempt rewriting buffers.c in Rust,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"rust-pilot, rust, datatypes, 034-triage-20180328, 034-removed-20180328"
24062,CPU profiling of Tor on Android device,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: unspecified,Normal,"s8-perf, s8-201710, 034-triage-20180328, 034-removed-20180328"
24063,Look into battery usage for Tor on Android devices,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: unspecified,Normal,"s8-battery, s8-201710, 034-triage-20180328, 034-removed-20180328"
24064,Memory profiling of Tor on Android device,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: 0.4.0.x-final,Normal,"s8-perf, s8-201710, internal, 035-roadmap-subtask, 035-triaged-in-20180711"
24107,Write a design document for the control interface for enhanced battery awareness on Android devices,Sponsor8,Core Tor/Tor,assigned,ahf,defect,Medium,Tor: unspecified,Normal,"s8-battery, s8-control, s8-201711, TorCoreTeam201711.1, 034-triage-20180328, 034-roadmap-subticket, 034-included-20180405, 034-deferred-20180602, 035-removed-20180711"
24108,Write a design document for the bandwidth control port interface for Android devices,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: unspecified,Normal,"s8-control, s8-201711, TorCoreTeam201711.1, 034-triage-20180328, 034-roadmap-subticket, 034-included-20180405, 034-deferred-20180602, 035-removed-20180711"
24300,Failed to find node for hop #1 of our path. Discarding this circuit,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,"tor-client, bootstrap, s8-errors, 034-triage-20180328, 034-removed-20180328"
24367,Changing pluggable transports (during start-up) in Tor Browser is broken,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"regression, tor-bridge-client, s8-errors, 033-triage-20180320, 033-removed-20180320, 031-unreached-backport, tbb-needs"
24453,Reduce log spam when child process creation failed,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,"bootstrap, s8-errors, 033-triage-20180320, 033-removed-20180320"
24457,Integrate tor-android build files directly into tor.git,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"mobile, android"
24586,Audit all state for stuff we need to reset on exit to make tor restartable.,Sponsor8,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"tor-mobile, s8-api, 034-triage-20180328, 034-included-20180405, 034-roadmap-subtask, 035-roadmap-subtask, 035-triaged-in-20180711"
24661,accept a reasonably live consensus for guard selection,Sponsor8-can,Core Tor/Tor,merge_ready,teor,defect,Medium,Tor: 0.3.5.x-final,Normal,"bootstrap, clock-skew, s8-bootstrap, s8-errors, ux, 035-backport-maybe, 034-backport-maybe-not, 033-backport-maybe-not, 033-triage-20180320, 034-roadmap-proposed, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-removed-20180711"
24680,Make tor binary smaller by reducing the size of the fallback list strings,Sponsor8-can,Core Tor/Fallback Scripts,new,,enhancement,Medium,,Normal,ideas binary-size
24786,Rebuild the fallback list in 2018,Sponsor8-can,Core Tor/Fallback Scripts,new,,task,Medium,Tor: 0.4.0.x-final,Normal,"s8-bootstrap, fallback, 035-roadmap-master, 029-backport, 033-backport, 034-backport, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 031-unreached-backport-maybe, 035-triaged-in-20180711, 035-can, 032-unreached-backport-maybe"
25227,Avoid storing all Tor nodes in RAM,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"tor-client, 034-triage-20180328, 034-removed-20180328"
25456,tor's systemd service should SIGHUP tor on resume/thaw after sleep/hibernate,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"packaging, systemd, configuration, 034-triage-20180328, 034-removed-20180328"
25493,Improve patterns for cleaning up static variables on exit/restart,Sponsor8,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"034-triage-20180328, 034-roadmap-subtask, 034-included-20180405, 035-roadmap-subtask, 035-triaged-in-20180711"
25496,Investigate Tor on ARM64 with Orbot,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: unspecified,Normal,"s8, s8-perf, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-removed-20180711"
25499,Finalize controller interface for idleness,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: 0.4.0.x-final,Normal,"035-roadmap-master, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-triaged-in-20180711"
25500,Reduce client CPU usage when idle,Sponsor8,Core Tor/Tor,assigned,dgoulet,task,Medium,Tor: unspecified,Normal,"tor-client, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 035-removed-20180711"
25502,Report intermediate PT bootstrapping status,Sponsor8,Core Tor/Tor,assigned,ahf,project,Medium,Tor: 0.4.0.x-final,Normal,"s8-bootstrap, 040-roadmap-master, tor-pt"
25503,Use less space for client-side directory cache,Sponsor8,Core Tor/Tor,assigned,ahf,task,Medium,Tor: unspecified,Normal,"s8, 035-removed-20180711"
25504,Find more generic ways to handle smartlist_t/Vec<T> between C and Rust,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"rust, datatypes, ffi, 035-removed-20180711"
25510,Collect feedback on mobile embedding API; resolve issues.,Sponsor8-must,Core Tor/Tor,assigned,nickm,project,Medium,Tor: 0.4.0.x-final,Normal,"roadmap, 035-roadmap-master, 034-triage-20180328, 034-included-20180328, 035-triaged-in-20180711"
25605,Add tests for Rust protover::compute_for_old_tor() and C functions it calls,Sponsor8-can,Core Tor/Tor,assigned,,defect,Medium,Tor: 0.3.5.x-final,Normal,"fast-fix, 033-triage-20180326, 033-included-20180326, 033-removed-20180409, 035-triaged-in-20180711"
25607,"On restart-in-process, do the right thing with thread-local storage",Sponsor8,Core Tor/Tor,assigned,nickm,defect,Medium,Tor: 0.4.0.x-final,Normal,"s8-api, 034-triage-20180328, 034-included-20180405, 034-roadmap-subticket, 035-roadmap-subtask, 035-triaged-in-20180711"
25628,Document our Rust coding standards for error/failure types,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"rust, tor-doc, 034-triage-20180328, 034-removed-20180328"
25713,"""DisableNetwork is set"" log message in Tor Browser scares/confuses users",Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,"ux-team, s8-errors"
26070,Remove remaining items from second_elapsed_callback and run_scheduled_events.,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,035-removed-20180711
26337,Investigate making rust error types use the failure crate,Sponsor8-can,Core Tor/Tor,needs_information,,enhancement,Medium,Tor: unspecified,Normal,"rust, technical-debt, tor-modularity, 035-removed-20180711"
26376,add cross compiling docs,Sponsor8-can,Core Tor/Tor,needs_information,Hello71,enhancement,Medium,Tor: 0.4.0.x-final,Normal,
26578,Do clients request new consensus documents more often than we expect?,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,
26999,tor_api: Some way to capture stdout/stderr,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,
27241,Extract information from more kinds of wedged directory connections.,Sponsor8-can,Core Tor/Tor,needs_information,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"fast-fix, 035-deferred-20180930"
27243,Keep much less directory info in RAM on clients,Sponsor8,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27245,Don't store (micro)descriptor text on the heap so much.,Sponsor8-can,Core Tor/Tor,accepted,nickm,defect,Medium,Tor: unspecified,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27248,Can we make our node-related structures more efficient?,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27381,Bad consensus diffs on 0.3.4 and later [with chutney],Sponsor8-can,Core Tor/Tor,assigned,teor,defect,Medium,Tor: 0.3.5.x-final,Normal,tor-auth
27563,cached_dir_t for consensus is redundant with conscache code,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,
27691,reset bootstrap progress when enough things change,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"usability, ux, ux-team, bootstrap, 035-roadmap-master, 035-triaged-in-20180711, s8-bootstrap, 035-deferred-20180930, bootstrap-arch"
27801,tor_api: CreateConnection() interface,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,
28179,Handle output from PT processes with the event loop,Sponsor8-must,Core Tor/Tor,assigned,ahf,enhancement,Medium,Tor: 0.4.0.x-final,Normal,"tor-pt, 040-roadmap-subtask"
28203,Make chutney log the bootstrap progress for each node,Sponsor8-can,Core Tor/Chutney,assigned,teor,defect,Medium,,Normal,"test, chutney, consistency, jenkins, integration-testing, continuous-integration"
28226,Backend for an async publish-subcribe messaging system for cross-module communications,Sponsor8,Core Tor/Tor,needs_review,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Normal,tor-pubsub
28348,Setting DisableNetwork won't disable NEED_NET events,Sponsor8,Core Tor/Tor,merge_ready,,defect,Medium,Tor: 0.3.4.x-final,Normal,034-backport
28351,Test clock skewed clients using chutney,Sponsor8-can,Core Tor/Chutney,assigned,teor,enhancement,Medium,,Normal,"bootstrap, clock-skew, tor-guard, usability, ux, s8-errors, 035-roadmap-subtask, s8-bootstrap"
28363,Make a torrc option which prevents Tor from falling asleep,Sponsor8-can,Core Tor/Tor,assigned,arma,enhancement,Medium,Tor: unspecified,Normal,
28423,improve precision of finegrained periodic event scheduling?,Sponsor8,Core Tor/Tor,assigned,nickm,defect,Medium,Tor: 0.4.0.x-final,Normal,
28424,Refactor hs_service_callback() to no longer need to run once per second?,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,
28481,Tor's startup time is getting slower on Android,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: 0.4.0.x-final,Normal,android startup performance controller
28591,Accept a future consensus for bootstrap,Sponsor8-can,Core Tor/Tor,merge_ready,teor,defect,Medium,Tor: 0.3.5.x-final,Normal,"bootstrap, clock-skew, tor-guard, usability, ux, s8-errors, 035-roadmap-subtask, 035-triaged-in-20180711, s8-bootstrap"
28702,bootstrapping slow at times,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,s8-bootstrap-maybe
28703,bootstrapping very slow with filtered network,Sponsor8-can,Core Tor/Tor,new,,defect,Medium,Tor: unspecified,Normal,s8-bootstrap-maybe
28837,Use openssl's SHA3 implementations when they are faster.,Sponsor8-can,Core Tor/Tor,needs_review,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Normal,android startup performance controller
28845,evloop could be better at handling fork() in tests,Sponsor8,Core Tor/Tor,new,,enhancement,Medium,Tor: 0.4.0.x-final,Normal,
28926,improve reporting of directory bootstrap progress,Sponsor8-can,Core Tor/Tor,new,,enhancement,Medium,Tor: unspecified,Normal,"s8-bootstrap, ux, directory"
2915,Explore options to reduce binary size of Tor,Sponsor8-can,Core Tor/Tor,new,,enhancement,Low,Tor: unspecified,Normal,"tor-client, modularity, download-size, memory, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
22706,Compress cached descriptors and consensus,Sponsor8-can,Core Tor/Tor,new,,enhancement,Low,Tor: unspecified,Normal,"sponsor8-maybe, disk-usage, 034-triage-20180328, 034-removed-20180328, 035-removed-20180711"
