id,Summary,Milestone,Status,Owner,Type,Priority,Component,Severity,Sponsor,Keywords
27284,Check IPv6 exit policies on microdescs,Tor: 0.4.0.x-final,assigned,teor,defect,Medium,Core Tor/Tor,Normal,,ipv6
27308,"report bootstrap phase when we actually start, not just unblock something",Tor: 0.4.0.x-final,assigned,catalyst,enhancement,Medium,Core Tor/Tor,Normal,Sponsor19-can,"usability, ux, ux-team, bootstrap, 035-roadmap-subtask, 035-triaged-in-20180711, s8-bootstrap, bootstrap-arch"
27530,Configure: Use AC_TRY_RUN() to check that --enable-gcc-hardening works,Tor: 0.4.0.x-final,assigned,,defect,Medium,Core Tor/Tor,Normal,,fast-fix
27563,cached_dir_t for consensus is redundant with conscache code,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8-can,
27662,refactor networkstatus_parse_vote_from_string(),Tor: 0.4.0.x-final,needs_revision,,defect,Medium,Core Tor/Tor,Normal,,"technical-debt, refactor, long-functions, cthulhucode"
27691,reset bootstrap progress when enough things change,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8-can,"usability, ux, ux-team, bootstrap, 035-roadmap-master, 035-triaged-in-20180711, s8-bootstrap, 035-deferred-20180930, bootstrap-arch"
27739,rust protover_all_supported() accepts too-long protocol names,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"rust, protover"
27801,tor_api: CreateConnection() interface,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8-can,
27854,Integration test(s) for tor-resolve,Tor: 0.4.0.x-final,accepted,rl1987,enhancement,Medium,Core Tor/Tor,Normal,,socks tor-resolve testing
27896,base32 padding inconsistency between client and server in HS v3 client auth preview,Tor: 0.4.0.x-final,needs_information,,defect,Medium,Core Tor/Tor,Normal,,"tor-hs, hs-auth"
27914,Extract fallback-scripts to its own git repository,Tor: 0.4.0.x-final,new,,task,Medium,Core Tor/Fallback Scripts,Normal,,"fallback, 035-can"
27921,"apparent DOS / impairment-of-service against FallbackDirs using DIR requests, please evaluate for possible mitigation",Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,"tor-dos, 040-roadmap-proposed"
28027,Tor keeps opening circuits while waiting for bridge descriptors,Tor: 0.4.0.x-final,needs_information,neel,defect,Medium,Core Tor/Tor,Normal,,"tor-hs, regression, tor-guard, 033-backport, 034-backport, 035-backport"
28036,Launch tests inside a single dirauth instance,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"regression, tor-dirauth, macOS, 035-can, 040-roadmap-proposed"
28037,Document how to fix or disable failing CI,Tor: 0.4.0.x-final,assigned,teor,enhancement,Medium,Core Tor/Tor,Normal,,"tor-doc, tor-ci"
28057,"When randomly choosing IPv4 or IPv6, log better IPv6 preference info",Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,tor-client ipv6
28058,"Run shellcheck as part of ""make check""",Tor: 0.4.0.x-final,needs_review,rl1987,enhancement,Medium,Core Tor/Tor,Normal,,technical-debt
28090,Keepalive padding cell bypasses the cell scheduler,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"tor-relay, tor-scheduler, tor-kist"
28097,Get the actual Windows version from Kernel32.dll,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,windows
28142,Merge original WTF-PAD branch,Tor: 0.4.0.x-final,needs_review,mikeperry,enhancement,Medium,Core Tor/Tor,Normal,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding"
28179,Handle output from PT processes with the event loop,Tor: 0.4.0.x-final,assigned,ahf,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8-must,"tor-pt, 040-roadmap-subtask"
28180,Signal mechanism from PT processes to Tor,Tor: 0.4.0.x-final,accepted,dgoulet,enhancement,Medium,Core Tor/Tor,Normal,Sponsor19,"tor-pt, 040-roadmap-subtask"
28181,spec: Add to pt-spec.txt control messages going back to main process (tor),Tor: 0.4.0.x-final,needs_review,dgoulet,enhancement,Medium,Core Tor/Tor,Normal,Sponsor19,"tor-spec, tor-pt, 040-roadmap-subtask"
28182,spec: Add to control-spec.txt some pluggable transport events,Tor: 0.4.0.x-final,needs_review,dgoulet,enhancement,Medium,Core Tor/Tor,Normal,Sponsor19,"tor-spec, tor-pt, 040-roadmap-subtask"
28190,Hidden service v2 exceeded launch limit with 11 intro points in the last 37 seconds,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"regression, tor-hs"
28220,"Create a chutney network with a single authority, and make sure it bootstraps",Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,"test, chutney, consistency, jenkins, integration-testing, continuous-integration"
28226,Backend for an async publish-subcribe messaging system for cross-module communications,Tor: 0.4.0.x-final,needs_review,nickm,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8,tor-pubsub
28265,Should Tor 0.3.5 be the last 0.3.x since it's an LTS?,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,
28281,outline of high-level bootstrap tracker abstractions,Tor: 0.4.0.x-final,assigned,catalyst,task,Medium,Core Tor/Tor,Normal,Sponsor19,"s8-bootstrap, bootstrap-arch"
28344,Should we log \r\n on Windows?,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"fast-fix, 040-roadmap-proposed"
28360,Replace TODOs in bandwidth file spec with Tor versions,Tor: 0.4.0.x-final,assigned,teor,defect,Medium,Core Tor/Tor,Normal,,fast-fix
28377,Add libnss to the travis apt and macOS packages,Tor: 0.4.0.x-final,assigned,teor,defect,Medium,Core Tor/Tor,Normal,,"fast-fix, tor-ci, travis"
28378,"Add libsystemd-devel to the travis config, if available",Tor: 0.4.0.x-final,reopened,teor,defect,Medium,Core Tor/Tor,Normal,,"fast-fix, tor-systemd, 029-backport, 033-backport, 034-backport, 035-backport"
28415,extra-info-digest's sha256-digest isn't actually over the same data as the sha1-digest,Tor: 0.4.0.x-final,needs_review,,defect,Medium,Core Tor/Tor,Normal,,dir-spec
28416,The ns consensus isn't explicitly ns in the network-status-version line of flavored consensuses,Tor: 0.4.0.x-final,needs_review,,defect,Medium,Core Tor/Tor,Normal,,tor-spec
28423,improve precision of finegrained periodic event scheduling?,Tor: 0.4.0.x-final,assigned,nickm,defect,Medium,Core Tor/Tor,Normal,Sponsor8,
28424,Refactor hs_service_callback() to no longer need to run once per second?,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,Sponsor8-can,
28437,Try Ubuntu xenial builds on travis,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,fast-fix
28438,Which macOS build image should we use on Travis?,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,
28439,Test static builds using Travis CI,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,
28453,Create a EndOfLifeTor.md document,Tor: 0.4.0.x-final,needs_revision,,task,Medium,Core Tor/Tor,Normal,,"tor-doc, release-management"
28481,Tor's startup time is getting slower on Android,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,Sponsor8-can,android startup performance controller
28509,"Limit relay bandwidth self-tests based on RelayBandwidthRate, not BandwidthRate",Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"tor-bwauth, 035-backport, 034-backport-maybe, 033-backport-maybe, 029-backport-maybe-not"
28511,"Limit the number of open testing circuits, and the total number of testing circuits",Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"fast-fix, tor-bwauth, tor-dos, 035-backport, 034-backport, 033-backport, 029-backport"
28522,[armhf] (Sandbox) Caught a bad syscall attempt,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"sandbox,armhf,syscall,debian,stretch, 035-backport 034-backport 033-backport 029-backport"
28525,Make tor_addr_is_internal_() aware of RFC 6598 (Carrier Grade NAT/Large Scale NAT) IPv4 Ranges,Tor: 0.4.0.x-final,needs_revision,neel,enhancement,Medium,Core Tor/Tor,Normal,,ipv6
28597,Document SOCKSPolicy better,Tor: 0.4.0.x-final,assigned,teor,defect,Medium,Core Tor/Tor,Normal,,easy doc fast-fix
28610,will WTF-PAD impair bandwidth scanning?,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,
28611,Add `-mstack-protector-guard=global` to CFLAGS instead of `--disable-gcc-hardening` configure option on Windows?,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,029-backport 033-backport 034-backport 035-backport win32
28614,Can't parse networkstatus consensus time,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"040-rc-must, regression"
28616,TLS internal error running Tor 0.3.4.9 on Debian Buster (OpenSSL 1.1.1a),Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,
28632,Make the original WTF-PAD branch actually useful for us (submaster ticket),Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28634,Design a useful padding machine that we can enable,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28635,Clean up PADDING_TODO.txt,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28636,Address WTF-PAD comments by Nick (2018-11-27 over IRC),Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28656,Bug: src/feature/nodelist/nodelist.c:2501: compute_frac_paths_available : Non-fatal assertion !(f_exit > 0.0) failed.,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"regression, 035-rc-blocker?, 034-backport, 035-backport"
28664,Describe consensus digest calculation,Tor: 0.4.0.x-final,assigned,teor,defect,Medium,Core Tor/Tor,Normal,,"tor-spec, doc"
28668,"If a Tor unit test causes a BUG log, it should fail",Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,technical-debt
28669,Bug: ../src/feature/hs/hs_client.c:280: retry_all_socks_conn_waiting_for_desc,Tor: 0.4.0.x-final,merge_ready,,defect,Medium,Core Tor/Tor,Normal,,tor-hs
28675,Deprecate standard cookie authentication,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,,technical-debt
28693,Add an option to disable circuit padding,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28714,"""No circuits are opened"" on controllers that DisablePredictedCircuits and build 2-hop circuits",Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"tor-bwauth, tor-bootstrap"
28780,circpadding: Add machine flag for not closing circuit if machine is active,Tor: 0.4.0.x-final,needs_revision,,defect,Medium,Core Tor/Tor,Normal,,"wtf-pad, tor-relay, tor-cell, padding"
28837,Use openssl's SHA3 implementations when they are faster.,Tor: 0.4.0.x-final,needs_review,nickm,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8-can,android startup performance controller
28845,evloop could be better at handling fork() in tests,Tor: 0.4.0.x-final,new,,enhancement,Medium,Core Tor/Tor,Normal,Sponsor8,
28860,Increased DNS failure rate when using ServerDNSResolvConfFile with tor 0.3.4.9 (as opposed to 0.3.3.x),Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"tor-dns, regression"
28863,updateFallbackDirs.py thinks it is python 3 compatible but it is not,Tor: 0.4.0.x-final,needs_information,,defect,Medium,Core Tor/Fallback Scripts,Normal,,
28920,"rep_hist_log_link_protocol_counts() only knows about 4 link protocols, but Tor has 5",Tor: 0.4.0.x-final,needs_review,,defect,Medium,Core Tor/Tor,Normal,,"easy, fast-fix"
28925,distinguish PT vs proxy for real in bootstrap tracker,Tor: 0.4.0.x-final,assigned,catalyst,defect,Medium,Core Tor/Tor,Normal,Sponsor19,"s8-bootstrap, usability, ux, tor-pt"
28928,update control-spec.txt for new bootstrap phases,Tor: 0.4.0.x-final,needs_review,catalyst,task,Medium,Core Tor/Tor,Normal,Sponsor19,"sponsor19-also, s8-bootstrap, tor-spec"
28930,consider reordering PT/proxy phases,Tor: 0.4.0.x-final,assigned,catalyst,enhancement,Medium,Core Tor/Tor,Normal,Sponsor19,"sponsor19-also, s8-bootstrap, pt, proxy"
28962,circuits are not both ready. Stalling conn.,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,tor-hs
28970,tor_bug_occurred_(): Bug: ../src/or/hs_client.c:624: setup_intro_circ_auth_key: Non-fatal assertion,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Critical,,"tor-client, tor-hs"
28979,Current alpha manual typo authorized_clients,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,tor-hs doc
28984,Update dir-spec observed bandwidth to 5 days,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"easy, doc, tor-spec, fast-fix"
28989,test_hs_service: CID 1442277:  Resource leaks  (RESOURCE_LEAK),Tor: 0.4.0.x-final,merge_ready,rl1987,defect,Medium,Core Tor/Tor,Normal,,tor-hs coverity
28992,Bug: ../src/feature/hs/hs_client.c:571: send_introduce1: Non-fatal assertion !(ip == NULL) failed.,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,tor-hs
28994,Close stdout pipe on error in process_unix_exec (was double closing stdin pipe),Tor: 0.4.0.x-final,merge_ready,,defect,Medium,Core Tor/Tor,Normal,,
29015,Document tor_ersatz_socketpair() and the functions it calls,Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,,"ipv6, easy, doc, fast-fix"
29017,PaddingStatistics should be disabled when ExtraInfoStatistics is 0,Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,SponsorV-can,"fast-fix, 035-backport, 034-backport, 033-backport"
29018,Make all statistics depend on ExtraInfoStatistics,Tor: 0.4.0.x-final,needs_revision,teor,enhancement,Medium,Core Tor/Tor,Normal,SponsorV-can,"fast-fix, security-low"
29029,"Make ""tried to establish rendezvous on non-OR circuit"" into a protocol warning",Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,,"tor-hs, fast-fix, 041-proposed-fast-fix, 040-proposed-fast-fix, 040-backport, 035-backport, 034-backport, 033-backport, 029-backport"
29040,Tor crashes if ClientOnionAuthDir contains more than one private key for a hidden service,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Major,,"040-proposed, tor-hs, crash, 035-backport"
26698,Authorities should put a hash of the bandwidth file in their votes,Tor: 0.4.0.x-final,needs_review,,enhancement,Low,Core Tor/Tor,Normal,,tor-crypto tor-dirauth tor-bwauth
28913,Base32_decode should return the length of its result.,Tor: 0.4.0.x-final,needs_revision,nickm,defect,Low,Core Tor/Tor,Normal,,util tor-client base32  cleanup technical-debt
28966,HSv3 client auth insufficiently documented (was: HiddenServiceAuthorizeClient incompatible),Tor: 0.4.0.x-final,new,,defect,Low,Core Tor/Tor,Minor,,tor-hs client-auth hsv3
